Employee_ID,Department,Job_Title,Location,Performance_Rating,Experience_Years,Work_Mode,Salary_INR,Status
E00107,HR,HR Assistant,Chennai,4,1,On-site,1112522,Active
E00108,Operations,Operations Executive,Bangalore,5,20,On-site,2419455,Resigned
E00109,Finance,Financial Analyst,Pune,1,2,Hybrid,1283255,Active
E00110,Support,Customer Support,Mumbai,4,10,Remote,2216197,Resigned
E00111,Marketing,Content Strategist,Pune,1,1,Hybrid,1639959,Active
E00112,Operations,Operations Executive,Pune,2,3,On-site,1204480,Resigned
E00113,IT,Data Analyst,Pune,5,10,Remote,1666012,Active
E00114,IT,Data Analyst,Mumbai,5,9,Remote,628892,Active
E00115,Sales,Sales Executive,Kolkata,5,8,Hybrid,2440222,Active
E00116,Support,Tech Support,Pune,1,4,Remote,1036667,Resigned
E00117,Operations,Logistics Coordinator,Bangalore,2,11,On-site,1342501,Resigned
E00118,Operations,Logistics Coordinator,Bangalore,5,13,Hybrid,1123172,Resigned
E00119,Finance,Auditor,Pune,2,3,On-site,2036921,Resigned
E00120,Support,Customer Support,Delhi,5,5,Hybrid,1401550,Active
E00121,IT,Software Engineer,Bangalore,2,13,On-site,2439415,Active
E00122,Finance,Financial Analyst,Pune,3,6,Hybrid,1788601,Active
E00123,Support,Tech Support,Chennai,1,19,Hybrid,2445875,Active
E00124,IT,Software Engineer,Chennai,5,0,On-site,1095633,Active
E00125,Finance,Financial Analyst,Bangalore,5,14,Remote,2149443,Active
E00126,Operations,Operations Executive,Chennai,4,11,Hybrid,2330154,Active
E00127,Finance,Financial Analyst,Delhi,3,4,Remote,638349,Active
E00128,Marketing,SEO Specialist,Kolkata,2,13,Hybrid,1505564,Resigned
E00129,HR,HR Assistant,Bangalore,4,10,Remote,1803731,Active
E00130,Operations,Logistics Coordinator,Mumbai,1,8,On-site,748716,Resigned
E00131,IT,System Admin,Kolkata,1,13,On-site,2317801,Active
E00132,Marketing,Content Strategist,Bangalore,1,18,Hybrid,1965630,Resigned
E00133,IT,Data Analyst,Hyderabad,1,20,Hybrid,290738,Resigned
E00134,IT,Data Analyst,Delhi,2,6,On-site,1094193,Active
E00135,Finance,Auditor,Hyderabad,3,18,On-site,2326696,Active
E00136,Marketing,Marketing Executive,Bangalore,1,10,Hybrid,1964331,Resigned
E00137,IT,Software Engineer,Hyderabad,1,16,Hybrid,1454565,Resigned
E00138,Operations,Operations Executive,Kolkata,1,12,On-site,383554,Resigned
E00139,Finance,Financial Analyst,Pune,5,16,On-site,1913261,Active
E00140,Finance,Financial Analyst,Bangalore,3,14,Hybrid,1436293,Active
E00141,HR,HR Manager,Pune,3,3,On-site,2214956,Resigned
E00142,Finance,Financial Analyst,Mumbai,3,13,Hybrid,2035910,Active
E00143,HR,Recruiter,Chennai,1,2,On-site,326218,Resigned
E00144,Marketing,Marketing Executive,Kolkata,5,2,Remote,597739,Active
E00145,HR,Recruiter,Pune,3,15,On-site,749876,Resigned
E00146,Marketing,Content Strategist,Kolkata,2,6,Hybrid,2276580,Resigned
E00147,Operations,Logistics Coordinator,Hyderabad,5,17,Remote,510910,Active
E00148,Finance,Financial Analyst,Kolkata,2,2,Hybrid,2335259,Active
E00149,Operations,Operations Manager,Pune,1,1,Remote,1156739,Active
E00150,Sales,Sales Executive,Mumbai,3,13,On-site,2253679,Resigned
E00151,Finance,Accountant,Pune,1,7,Hybrid,1136040,Active
E00152,Marketing,SEO Specialist,Delhi,4,12,Hybrid,1616853,Active
E00153,Operations,Operations Manager,Hyderabad,1,5,On-site,478504,Resigned
E00154,Sales,BD Associate,Chennai,2,20,On-site,1476476,Active
E00155,Support,Customer Support,Chennai,1,20,On-site,1809161,Resigned
E00156,HR,HR Manager,Delhi,1,18,On-site,2303490,Resigned
E00157,Operations,Logistics Coordinator,Delhi,4,16,Hybrid,478071,Active
E00158,HR,Recruiter,Kolkata,5,0,On-site,1759090,Active
E00159,IT,System Admin,Chennai,3,1,Hybrid,906884,Active
E00160,IT,Software Engineer,Bangalore,5,10,Hybrid,1574070,Active
E00161,HR,HR Assistant,Hyderabad,4,18,On-site,1911793,Resigned
E00162,Operations,Logistics Coordinator,Delhi,1,16,Remote,949983,Active
E00163,Support,Support Engineer,Bangalore,5,15,Remote,436833,Active
E00164,Support,Tech Support,Mumbai,1,12,Hybrid,1195439,Active
E00165,Support,Support Engineer,Kolkata,2,20,On-site,1774102,Resigned
E00166,Operations,Logistics Coordinator,Bangalore,3,15,On-site,2053740,Active
E00167,Marketing,Content Strategist,Delhi,2,9,Hybrid,2137383,Resigned
E00168,Sales,Sales Executive,Mumbai,3,4,Hybrid,926022,Active
E00169,Support,Tech Support,Bangalore,4,12,Hybrid,1261727,Active
E00170,Sales,Sales Manager,Mumbai,3,9,Remote,1270154,Active
E00171,Operations,Operations Manager,Delhi,3,6,On-site,2343373,Active
E00172,IT,ML Engineer,Kolkata,1,9,On-site,2109582,Active
E00173,Operations,Operations Executive,Pune,1,2,On-site,799239,Resigned
E00174,Sales,Sales Manager,Pune,5,15,On-site,2044029,Resigned
E00175,Support,Support Engineer,Bangalore,4,11,Remote,841652,Active
E00176,Finance,Financial Analyst,Kolkata,3,12,Remote,1060694,Active
E00177,Finance,Accountant,Kolkata,5,18,Hybrid,1113561,Active
E00178,IT,Data Analyst,Bangalore,1,2,Remote,1218452,Active
E00179,Support,Support Engineer,Bangalore,3,19,Remote,538316,Active
E00180,Finance,Financial Analyst,Mumbai,1,2,Remote,1043719,Active
E00181,IT,Software Engineer,Hyderabad,5,1,On-site,2390794,Resigned
E00182,IT,System Admin,Bangalore,2,11,On-site,576916,Active
E00183,HR,Recruiter,Pune,3,4,On-site,1864737,Resigned
E00184,Sales,Sales Executive,Hyderabad,5,12,Remote,375991,Active
E00185,Marketing,Marketing Executive,Delhi,2,2,On-site,1460209,Resigned
E00186,Operations,Operations Executive,Bangalore,3,15,Hybrid,740042,Active
E00187,IT,DevOps Engineer,Delhi,5,20,Hybrid,2171214,Active
E00188,Sales,BD Associate,Chennai,3,12,Remote,959662,Active
E00189,HR,Recruiter,Chennai,2,3,Hybrid,738972,Active
E00190,IT,Software Engineer,Bangalore,2,12,Hybrid,850530,Active
E00191,HR,HR Assistant,Mumbai,4,14,Remote,1906671,Active
E00192,Sales,BD Associate,Bangalore,4,16,Hybrid,1022800,Resigned
E00193,Finance,Financial Analyst,Mumbai,5,11,Hybrid,1123698,Active
E00194,Sales,BD Associate,Chennai,3,0,On-site,1804510,Active
E00195,Finance,Financial Analyst,Kolkata,2,1,On-site,482732,Active
E00196,Finance,Accountant,Bangalore,5,10,On-site,1752337,Active
E00197,Sales,Sales Manager,Delhi,3,2,Remote,474695,Resigned
E00198,Operations,Logistics Coordinator,Chennai,3,19,On-site,2090634,Active
E00199,Sales,Sales Manager,Kolkata,2,2,On-site,1536936,Resigned
E00200,HR,Recruiter,Hyderabad,3,7,On-site,2221856,Resigned
E00201,Support,Tech Support,Pune,2,19,On-site,1905743,Resigned
E00202,Sales,Sales Manager,Delhi,4,13,On-site,1346413,Resigned
E00203,IT,ML Engineer,Hyderabad,4,8,On-site,1897608,Active
E00204,Marketing,SEO Specialist,Chennai,5,1,Hybrid,859996,Resigned
E00205,Operations,Operations Manager,Pune,2,13,Remote,1143093,Resigned
E00206,Operations,Operations Executive,Bangalore,4,5,Remote,414053,Active
E00207,IT,Software Engineer,Hyderabad,1,13,On-site,1919211,Active
E00208,HR,HR Manager,Hyderabad,1,1,Hybrid,426076,Resigned
E00209,Operations,Operations Manager,Pune,2,5,Hybrid,300861,Active
E00210,Support,Customer Support,Mumbai,4,16,Remote,1094092,Active
E00211,Marketing,Marketing Executive,Pune,1,6,Hybrid,283320,Active
E00212,HR,HR Manager,Hyderabad,3,6,Hybrid,1397087,Active
E00213,HR,HR Manager,Mumbai,3,8,On-site,811165,Resigned
E00214,Marketing,Content Strategist,Hyderabad,5,12,Hybrid,1449670,Active
E00215,Operations,Operations Executive,Kolkata,5,18,On-site,1767509,Active
E00216,Marketing,Marketing Executive,Bangalore,3,2,On-site,2101317,Resigned
E00217,IT,ML Engineer,Bangalore,5,19,Hybrid,876045,Active
E00218,HR,HR Assistant,Delhi,1,3,On-site,281585,Resigned
E00219,HR,Recruiter,Mumbai,4,5,Hybrid,1340805,Active
E00220,Finance,Accountant,Mumbai,5,14,On-site,269975,Resigned
E00221,Marketing,Content Strategist,Mumbai,4,13,Remote,1593862,Active
E00222,Marketing,Marketing Executive,Bangalore,4,14,Hybrid,1595766,Active
E00223,HR,Recruiter,Pune,1,1,Remote,1286548,Resigned
E00224,Sales,Sales Executive,Kolkata,3,9,On-site,1292377,Active
E00225,Sales,Sales Manager,Bangalore,1,4,On-site,1715291,Active
E00226,Marketing,Marketing Executive,Delhi,5,14,Hybrid,342324,Active
E00227,Sales,BD Associate,Kolkata,4,19,On-site,2166545,Resigned
E00228,Operations,Operations Manager,Chennai,1,2,On-site,1458052,Resigned
E00229,IT,Software Engineer,Delhi,4,9,On-site,1988993,Active
E00230,Finance,Financial Analyst,Mumbai,1,17,Remote,396470,Resigned
E00231,Support,Tech Support,Mumbai,4,5,On-site,1593276,Resigned
E00232,HR,HR Manager,Hyderabad,2,20,On-site,1928687,Resigned
E00233,Support,Customer Support,Kolkata,2,0,Remote,1445225,Resigned
E00234,Marketing,SEO Specialist,Mumbai,1,7,Remote,738011,Resigned
E00235,IT,ML Engineer,Bangalore,1,18,Remote,1580228,Active
E00236,IT,Data Analyst,Pune,4,1,Remote,1798229,Active
E00237,IT,Software Engineer,Bangalore,5,8,On-site,971384,Resigned
E00238,HR,HR Assistant,Pune,4,5,On-site,286321,Active
E00239,IT,System Admin,Chennai,3,0,On-site,1350500,Active
E00240,Sales,Sales Manager,Kolkata,5,18,On-site,2188904,Active
E00241,IT,System Admin,Hyderabad,2,10,Hybrid,1298173,Active
E00242,HR,HR Manager,Bangalore,3,20,Remote,2344529,Active
E00243,Operations,Operations Executive,Mumbai,1,11,On-site,1352127,Resigned
E00244,Sales,BD Associate,Delhi,2,11,Remote,798884,Resigned
E00245,Support,Tech Support,Chennai,4,14,On-site,1438554,Active
E00246,Sales,Sales Executive,Chennai,3,1,On-site,955475,Resigned
E00247,Sales,Sales Manager,Delhi,5,14,Hybrid,1668897,Active
E00248,Operations,Operations Manager,Bangalore,3,6,Hybrid,313646,Active
E00249,IT,Data Analyst,Chennai,2,3,On-site,786437,Active
E00250,IT,ML Engineer,Chennai,2,14,Remote,461830,Active
E00251,Operations,Operations Manager,Hyderabad,1,8,Hybrid,2057992,Active
E00252,IT,Data Analyst,Delhi,5,3,On-site,1747618,Active
E00253,Support,Customer Support,Bangalore,2,18,Hybrid,751174,Active
E00254,Support,Support Engineer,Delhi,4,1,On-site,1116964,Resigned
E00255,Operations,Logistics Coordinator,Delhi,4,6,Hybrid,2405145,Resigned
E00256,Operations,Operations Executive,Bangalore,1,1,On-site,1827222,Resigned
E00257,Finance,Financial Analyst,Pune,5,6,Hybrid,1092186,Active
E00258,Sales,Sales Manager,Delhi,4,5,Hybrid,944892,Resigned
E00259,Operations,Operations Executive,Hyderabad,3,8,On-site,653322,Resigned
E00260,Support,Support Engineer,Bangalore,4,1,Hybrid,1597098,Active
E00261,Marketing,SEO Specialist,Delhi,4,2,On-site,963936,Active
E00262,Support,Customer Support,Hyderabad,4,3,Remote,1085036,Active
E00263,IT,Data Analyst,Pune,1,15,On-site,558623,Active
E00264,Sales,BD Associate,Pune,5,18,On-site,1521300,Active
E00265,Sales,Sales Executive,Bangalore,5,19,Hybrid,1354849,Active
E00266,IT,DevOps Engineer,Hyderabad,4,1,On-site,2232243,Active
E00267,HR,HR Assistant,Mumbai,1,20,On-site,642136,Active
E00268,Finance,Financial Analyst,Kolkata,2,3,Remote,2168370,Active
E00269,Support,Customer Support,Hyderabad,5,19,On-site,917689,Active
E00270,Operations,Logistics Coordinator,Pune,2,13,Remote,543894,Resigned
E00271,IT,DevOps Engineer,Delhi,2,1,On-site,1502557,Active
E00272,HR,HR Assistant,Mumbai,1,0,Remote,943045,Active
E00273,Sales,BD Associate,Delhi,1,5,On-site,1740036,Resigned
E00274,Operations,Operations Manager,Hyderabad,1,14,Remote,1780891,Active
E00275,Sales,Sales Executive,Kolkata,4,17,On-site,1114645,Resigned
E00276,Finance,Financial Analyst,Mumbai,4,18,On-site,2346594,Resigned
E00277,IT,Data Analyst,Pune,3,17,On-site,2311774,Active
E00278,Finance,Accountant,Delhi,5,8,Hybrid,2225154,Active
E00279,Sales,Sales Executive,Hyderabad,4,6,On-site,1210612,Active
E00280,Sales,Sales Executive,Hyderabad,4,5,On-site,685684,Active
E00281,Marketing,Marketing Executive,Delhi,3,13,On-site,1796236,Active
E00282,Marketing,Content Strategist,Mumbai,3,20,On-site,454366,Active
E00283,Support,Customer Support,Kolkata,5,0,On-site,1620073,Resigned
E00284,Operations,Operations Executive,Mumbai,5,12,On-site,1602144,Resigned
E00285,Sales,BD Associate,Kolkata,5,19,On-site,1309325,Resigned
E00286,Sales,Sales Manager,Delhi,1,19,Remote,969401,Active
E00287,IT,Software Engineer,Bangalore,1,0,Remote,1302207,Resigned
E00288,HR,HR Manager,Mumbai,4,7,On-site,2323290,Active
E00289,Finance,Financial Analyst,Bangalore,1,12,On-site,804399,Active
E00290,Support,Support Engineer,Chennai,1,10,Hybrid,1850946,Resigned
E00291,IT,DevOps Engineer,Hyderabad,5,7,On-site,1871219,Active
E00292,Support,Tech Support,Kolkata,3,18,On-site,879085,Active
E00293,HR,HR Manager,Kolkata,4,16,On-site,1552887,Active
E00294,HR,Recruiter,Mumbai,3,16,On-site,1193693,Resigned
E00295,IT,Data Analyst,Kolkata,2,9,Hybrid,2303607,Resigned
E00296,Operations,Operations Executive,Kolkata,4,1,On-site,1868702,Resigned
E00297,HR,Recruiter,Bangalore,1,7,On-site,1769603,Resigned
E00298,Operations,Logistics Coordinator,Pune,1,20,On-site,2471599,Resigned
E00299,Support,Support Engineer,Hyderabad,1,14,On-site,933404,Resigned
E00300,Marketing,SEO Specialist,Pune,4,10,On-site,1356581,Active
E00301,Marketing,Marketing Executive,Chennai,2,1,On-site,1942110,Resigned
E00302,HR,Recruiter,Kolkata,3,11,Hybrid,1302330,Active
E00303,IT,System Admin,Kolkata,3,6,Hybrid,1045928,Active
E00304,Support,Customer Support,Mumbai,1,11,Hybrid,796015,Active
E00305,HR,Recruiter,Bangalore,2,20,Hybrid,1899729,Active
E00306,Operations,Operations Executive,Hyderabad,4,9,Hybrid,916165,Active
E00307,Marketing,SEO Specialist,Bangalore,2,20,On-site,1990687,Resigned
E00308,Support,Customer Support,Delhi,5,3,On-site,1930403,Active
E00309,Marketing,Content Strategist,Mumbai,5,5,On-site,1562743,Resigned
E00310,HR,HR Manager,Pune,4,12,On-site,1588486,Active
E00311,Operations,Operations Manager,Delhi,5,15,On-site,736275,Resigned
E00312,HR,HR Manager,Mumbai,3,18,On-site,693031,Active
E00313,Marketing,SEO Specialist,Pune,5,3,Hybrid,2035516,Active
E00314,Support,Support Engineer,Kolkata,1,17,On-site,431360,Resigned
E00315,Finance,Auditor,Delhi,1,12,On-site,2119059,Resigned
E00316,Support,Tech Support,Kolkata,4,10,Hybrid,754409,Active
E00317,IT,ML Engineer,Chennai,2,17,On-site,493306,Resigned
E00318,Marketing,SEO Specialist,Chennai,1,12,Hybrid,2277410,Active
E00319,Marketing,SEO Specialist,Delhi,5,4,On-site,1019097,Active
E00320,Sales,Sales Manager,Mumbai,4,6,Remote,1154098,Active
E00321,IT,ML Engineer,Pune,1,13,Hybrid,1961672,Active
E00322,IT,ML Engineer,Chennai,4,9,On-site,1664022,Active
E00323,Sales,Sales Manager,Mumbai,2,12,On-site,816088,Resigned
E00324,Finance,Financial Analyst,Mumbai,3,20,Hybrid,1853546,Active
E00325,Support,Tech Support,Mumbai,3,19,On-site,1537087,Active
E00326,HR,HR Manager,Hyderabad,1,4,Remote,2113236,Active
E00327,HR,HR Assistant,Bangalore,3,18,Remote,803343,Active
E00328,Operations,Operations Executive,Bangalore,2,20,On-site,379350,Resigned
E00329,IT,Software Engineer,Chennai,5,1,On-site,1476408,Active
E00330,IT,Software Engineer,Mumbai,2,0,On-site,1687188,Active
E00331,IT,Data Analyst,Mumbai,2,15,On-site,1367862,Active
E00332,Support,Customer Support,Hyderabad,3,9,Remote,440706,Active
E00333,Support,Support Engineer,Hyderabad,2,3,Hybrid,1828638,Resigned
E00334,Operations,Logistics Coordinator,Pune,4,13,On-site,539768,Active
E00335,Sales,Sales Manager,Bangalore,2,2,Remote,693945,Resigned
E00336,Marketing,Content Strategist,Hyderabad,1,17,On-site,1524634,Resigned
E00337,HR,HR Assistant,Hyderabad,5,20,On-site,664600,Active
E00338,Marketing,SEO Specialist,Mumbai,4,19,Hybrid,330257,Active
E00339,Finance,Accountant,Delhi,3,17,On-site,1174133,Resigned
E00340,IT,DevOps Engineer,Hyderabad,3,4,On-site,523349,Active
E00341,Finance,Accountant,Hyderabad,3,13,On-site,828688,Active
E00342,Support,Support Engineer,Chennai,5,1,On-site,644341,Active
E00343,Finance,Auditor,Delhi,5,2,Hybrid,1560077,Active
E00344,Finance,Accountant,Hyderabad,5,8,Remote,1954581,Active
E00345,Sales,Sales Executive,Delhi,2,14,Hybrid,1866596,Resigned
E00346,Marketing,Content Strategist,Hyderabad,4,15,Hybrid,1389929,Active
E00347,Operations,Logistics Coordinator,Hyderabad,2,8,Hybrid,2381018,Active
E00348,Marketing,Marketing Executive,Chennai,4,10,Remote,544746,Active
E00349,Sales,Sales Executive,Mumbai,2,2,Hybrid,1560875,Resigned
E00350,Marketing,Marketing Executive,Hyderabad,4,0,Remote,1554766,Active
E00351,HR,HR Assistant,Kolkata,5,2,Hybrid,693316,Active
E00352,Marketing,Marketing Executive,Kolkata,1,2,On-site,2010462,Resigned
E00353,IT,System Admin,Delhi,3,1,On-site,1956533,Resigned
E00354,Operations,Operations Manager,Delhi,3,13,On-site,2062336,Resigned
E00355,Marketing,SEO Specialist,Pune,1,18,Remote,489017,Active
E00356,Sales,Sales Executive,Kolkata,1,18,Remote,1434141,Resigned
E00357,Operations,Operations Executive,Hyderabad,1,8,On-site,327175,Resigned
E00358,Marketing,Content Strategist,Chennai,3,8,On-site,375149,Active
E00359,Finance,Financial Analyst,Bangalore,5,13,On-site,1107342,Resigned
E00360,Operations,Operations Manager,Bangalore,4,2,On-site,672381,Active
E00361,Support,Support Engineer,Chennai,4,4,Hybrid,1371268,Resigned
E00362,Operations,Operations Executive,Hyderabad,3,16,On-site,2325712,Resigned
E00363,Support,Tech Support,Hyderabad,4,13,Hybrid,1800184,Active
E00364,Sales,Sales Executive,Pune,5,18,On-site,2334508,Active
E00365,Support,Tech Support,Hyderabad,4,3,On-site,1806396,Active
E00366,Sales,Sales Manager,Mumbai,3,8,Hybrid,1602790,Active
E00367,Marketing,Marketing Executive,Mumbai,1,11,Hybrid,909738,Resigned
E00368,Sales,Sales Manager,Bangalore,1,12,On-site,323869,Resigned
E00369,Operations,Operations Executive,Chennai,5,5,Remote,1619277,Active
E00370,Sales,Sales Executive,Mumbai,5,20,Hybrid,1592057,Resigned
E00371,Marketing,Marketing Executive,Bangalore,5,16,Hybrid,1750948,Active
E00372,Support,Tech Support,Bangalore,5,10,On-site,1975322,Resigned
E00373,Marketing,Marketing Executive,Bangalore,4,18,On-site,1901143,Active
E00374,Operations,Operations Executive,Bangalore,5,6,Remote,897341,Resigned
E00375,Operations,Logistics Coordinator,Kolkata,1,14,Remote,1237073,Active
E00376,IT,ML Engineer,Mumbai,5,18,Hybrid,1115363,Active
E00377,Sales,Sales Manager,Delhi,1,6,On-site,1726402,Resigned
E00378,HR,HR Manager,Mumbai,3,8,Hybrid,1711331,Active
E00379,Operations,Operations Manager,Chennai,3,15,Remote,934029,Active
E00380,Finance,Accountant,Kolkata,5,14,On-site,1991373,Active
E00381,Support,Support Engineer,Kolkata,1,5,Remote,722501,Active
E00382,Sales,BD Associate,Chennai,1,20,Remote,2147501,Resigned
E00383,HR,Recruiter,Delhi,4,11,Remote,1629390,Resigned
E00384,Finance,Financial Analyst,Delhi,1,3,On-site,2062375,Resigned
